Fut_code,Trade_DT,amount,close,high,low,open,position,position_range,twap,t_vwap,volume
OI.CZC,6/1/2020 12:00,5602717000,7024,7049,6962,7018,109046,1598,6999.259259,69985.47477,79998
OI.CZC,6/1/2020 16:00,2432069740,7030,7047,7019,7032,107974,1237,7034.044444,70327.08469,34563
PB.SHF,6/1/2020 8:00,906875325,14335,14370,14220,14280,26789,412,14298.0625,71491.97221,12688
PB.SHF,6/1/2020 12:00,1023814175,14500,14525,14350,14350,29066,2308,14464.66667,72327.7994,14167
PB.SHF,6/1/2020 16:00,490820775,14550,14580,14495,14505,29437,483,14541.05556,72703.70777,6750
P.DCE,6/1/2020 8:00,14042115660,4758,4790,4730,4780,401643,6539,4754.983333,47550.6565,295205
P.DCE,6/1/2020 12:00,22264915600,4818,4822,4742,4772,423238,22220,4778.622222,47784.47439,465647
P.DCE,6/1/2020 16:00,11890615720,4830,4848,4826,4846,416678,10464,4835.888889,48360.92394,245862
PP.DCE,6/1/2020 8:00,6973276860,7255,7259,7183,7193,449445,5784,7233.633333,36167.61422,192859
PP.DCE,6/1/2020 12:00,16631915990,7408,7417,7255,7290,510947,54485,7377.725926,36889.77528,451866
PP.DCE,6/1/2020 16:00,8364024900,7456,7457,7390,7407,516527,14115,7424.455556,37121.12657,225187
RB.SHF,6/1/2020 8:00,22837239860,3562,3590,3557,3580,1312085,30871,3574.241667,35742.54584,639128
RB.SHF,6/1/2020 12:00,28648359270,3595,3609,3566,3571,1292360,26841,3583.148148,35831.39881,798945
RB.SHF,6/1/2020 16:00,12500750490,3577,3600,3571,3595,1267332,29615,3586.488889,35864.88921,348763
RM.CZC,6/1/2020 8:00,5703064860,2372,2375,2350,2361,319725,9846,2364.258333,23645.09778,241082
RM.CZC,6/1/2020 12:00,7772657400,2334,2371,2328,2371,332165,19209,2337.385185,23445.40017,331426
RM.CZC,6/1/2020 16:00,2337669910,2334,2338,2330,2335,337889,9239,2333.566667,23455.33362,99752
RU.SHF,6/1/2020 8:00,8506571500,10150,10205,10120,10150,211293,3509,10158.25,101580.6483,83729
RU.SHF,6/1/2020 12:00,14646859250,10305,10345,10150,10150,205792,5689,10292.48148,102928.5276,142557
RU.SHF,6/1/2020 16:00,4720525600,10315,10340,10280,10310,203325,2736,10315.27778,103147.5872,45777
