,tickers,normalize_method,normed_method,outlier_method,period,mean,median,range,IQR,IC,IC_2sigma,count_2sigma,normal_test_p_value
0,MA.CZC,None,minmax,None,180,0.4573546204330047,0.3919501133786848,1.0,0.5558209436155261,0.011080209915529212,,0,1.8856260084410442e-28
1,MA.CZC,None,ts_zscore,None,180,0.09380554639173051,-0.06599494382719007,8.895170715166866,2.039787197665711,0.005914189459853899,0.005595671875886209,80,5.445744896692695e-11
0,MA.CZC,None,minmax,None,256,0.45068543874053457,0.4026934029425724,1.0,0.5579530170108216,0.020215444581629893,,0,2.1419788396186516e-28
1,MA.CZC,None,ts_zscore,None,256,0.10912344212514719,0.03209497873070114,8.857783977863548,2.1632713661203966,0.00729762838207051,-0.03792156704741824,78,1.1332584176626526e-11
0,MA.CZC,None,minmax,None,512,0.46304532798952625,0.4326530612244898,1.0,0.5368888594538671,0.0049912615817849166,,0,3.66006438340712e-26
1,MA.CZC,None,ts_zscore,None,512,0.13478966245524562,0.2924660749934894,8.825335684923857,2.1399163078854526,-0.004310880966131479,0.027025591654654544,36,2.4960841228140185e-15
0,MA.CZC,None,minmax,None,1024,0.47261300285121943,0.4525605696824184,1.0,0.3684346510591875,-0.014355457336492742,-0.20374628640414355,49,8.062101943613793e-17
1,MA.CZC,None,ts_zscore,None,1024,0.14586357275781742,0.10293958140202797,7.8714230028380605,1.602988281478618,-0.023060800699178634,-0.06638263265886629,60,0.006971485912799835
0,M.DCE,None,minmax,None,20,0.48435024534801063,0.46983362161271724,1.0,0.6894412622780932,0.01156208460998947,,0,4.376667055880759e-33
1,M.DCE,None,ts_zscore,None,20,0.015637070750328243,-0.06413466633945203,7.0521644977167846,2.1048491259882978,0.009238671302986154,0.0018552314524647008,47,5.106006763233584e-13
0,M.DCE,None,minmax,None,40,0.477116898317053,0.45576519916142555,1.0,0.621977122150339,0.0003581148533978887,,0,5.7781415410714736e-30
1,M.DCE,None,ts_zscore,None,40,0.045204102056440994,-0.05596827731365154,7.916453272413811,2.142179061183395,0.007296506062554073,0.04050833413450436,53,2.2214330798030896e-13
0,M.DCE,None,minmax,None,60,0.4831478061368573,0.4657210583440847,1.0,0.5517014695395951,-0.000101051094547135,,0,3.451167852728774e-26
1,M.DCE,None,ts_zscore,None,60,0.09882179048753509,0.03074677225157651,8.525661827860713,1.9714125165625598,0.0037570670425589345,0.011576227968644449,66,3.331422637753434e-10
0,M.DCE,None,minmax,None,90,0.4842249336155498,0.4969371962732535,1.0,0.5028732787794198,-0.009210409334068845,,0,5.111505093622331e-24
1,M.DCE,None,ts_zscore,None,90,0.13762901712295297,0.13474639376009878,7.83283976234411,1.8446895583449048,0.0008942306171612937,0.03187140741984214,80,4.218386948195985e-06
0,M.DCE,None,minmax,None,180,0.5007064110144696,0.5097110662290207,1.0,0.4679813275599783,-0.015430343805515397,,0,1.008567527810751e-21
1,M.DCE,None,ts_zscore,None,180,0.17602686522049865,0.20319955775919046,7.6989248531117545,1.9727954435077013,-0.012915690153100899,-0.16762397550191993,73,3.590053211155464e-06
0,M.DCE,None,minmax,None,256,0.5022508790056781,0.49957228400342174,1.0,0.41332058365227975,-0.02129759234668008,,0,2.4206288777361375e-18
1,M.DCE,None,ts_zscore,None,256,0.26332774875691606,0.2662369688088476,7.424889089203215,1.8490121109289266,-0.022363986592467015,-0.129343174073696,76,9.340086393194724e-08
0,M.DCE,None,minmax,None,512,0.5004518146782065,0.48911938257405163,1.0,0.3571536720685989,-0.02458626438543572,,0,1.6907482782124424e-15
1,M.DCE,None,ts_zscore,None,512,0.42588371513945544,0.33391891239117094,7.501210466626287,1.6734196508117194,-0.031579492845034154,-0.1073765169408007,79,8.998567864182405e-07
0,M.DCE,None,minmax,None,1024,0.5320687261821675,0.5192472198460223,1.0,0.3163660194717819,-0.03228009269863834,0.09012137533967822,102,3.4894129686408037e-12
1,M.DCE,None,ts_zscore,None,1024,0.6010076839392392,0.5158707181444779,7.450116252066171,1.7662793675552413,-0.03321134475649036,-0.16499321553341376,81,5.7025623391382396e-05
0,NI.SHF,None,minmax,None,20,0.5133557583800883,0.5259391771019678,1.0,0.6796734307071055,0.013138420893303865,,0,7.242347061058827e-32
1,NI.SHF,None,ts_zscore,None,20,0.10821607511988829,0.14110980225197414,6.759755373655828,2.0896957871216637,0.013776561405347913,0.29767448505113625,40,1.8292768829645395e-13
0,NI.SHF,None,minmax,None,40,0.5086020651053971,0.5303234501347709,1.0,0.6235113816374235,0.016608853123769394,,0,2.4300882995566048e-29
1,NI.SHF,None,ts_zscore,None,40,0.1523773198364855,0.20988698754277624,7.7477623688914345,2.163137156562773,0.020356245923819162,0.06870406915313215,50,5.4355782028170374e-12
0,NI.SHF,None,minmax,None,60,0.5093384913677257,0.5318640467339352,1.0,0.6035956135811096,0.0272454865617987,,0,1.213892097606022e-28
1,NI.SHF,None,ts_zscore,None,60,0.21556649837709704,0.22764899826707174,8.52065227222188,2.263326024481953,0.022675288370185016,0.04069729279064314,37,9.697328660560056e-13
0,NI.SHF,None,minmax,None,90,0.513970449913513,0.5545219638242894,1.0,0.6164854750319702,0.023022026592085073,,0,2.9912466579159906e-29
1,NI.SHF,None,ts_zscore,None,90,0.3073847004114024,0.4010330944064728,8.564209285465617,2.338410657223661,0.0173457839654184,-0.2193334212020983,32,1.711732968909252e-14
0,NI.SHF,None,minmax,None,180,0.5202436517590332,0.5467700258397933,1.0,0.6366554616156945,0.016032264592270813,,0,4.1804299319762026e-30
1,NI.SHF,None,ts_zscore,None,180,0.4660119150921656,0.5183287182543752,9.611489536108845,2.197077007916935,0.006603587711506669,-0.07737185848954528,34,7.58362361962168e-16
0,NI.SHF,None,minmax,None,256,0.5196160217756964,0.5468978102189781,1.0,0.5945933223670798,0.0044464506797969134,,0,5.659861772289474e-28
1,NI.SHF,None,ts_zscore,None,256,0.5285227714095585,0.5361123288602412,9.068365067289696,2.1354868853136706,-0.005064497757902532,-0.1634792333332609,33,1.301412522152539e-17
0,NI.SHF,None,minmax,None,512,0.5231093577487519,0.5324324324324324,1.0,0.5036511802389465,0.009019779997760696,,0,1.1651671996479744e-23
1,NI.SHF,None,ts_zscore,None,512,0.7274038740856762,0.6892957139197202,8.54906447119507,1.8549588807532862,-0.010083836437686651,-0.13390104569209804,50,1.7817417680143777e-11
0,NI.SHF,None,minmax,None,1024,0.5426633776005698,0.5819584885577435,1.0,0.41284209858805826,0.007308752661146408,,0,8.266442502463498e-23
1,NI.SHF,None,ts_zscore,None,1024,0.994130872406036,1.0950126247812513,9.466851102909157,1.5631025383292316,-0.008310682888264389,-0.027339962658847458,66,6.628766681610401e-14
0,OI.CZC,None,minmax,None,20,0.5290481351621165,0.5473544685332461,1.0,0.652695077428828,-0.002805642295270472,,0,8.689000334498572e-32
1,OI.CZC,None,ts_zscore,None,20,0.13207027812696112,0.1906205369235136,7.6191955341412125,1.955992251223463,-0.00039788922141918205,0.10245589831157176,56,2.0025490155006764e-09
0,OI.CZC,None,minmax,None,40,0.5430367453755648,0.5809548739028709,1.0,0.5634640663583759,-0.021965669630810293,,0,5.160281322505259e-28
1,OI.CZC,None,ts_zscore,None,40,0.22276879881552053,0.31711649657014007,7.694360506404254,2.032535223893908,-0.012992904297032521,-0.029992680398289468,51,9.501855968707673e-10
0,OI.CZC,None,minmax,None,60,0.5506089264865616,0.5957684540575012,1.0,0.5543699091793932,-0.013800213603430462,,0,9.718420647897848e-28
1,OI.CZC,None,ts_zscore,None,60,0.27762463796424636,0.3627421293648827,8.555676444948388,2.034450918507724,-0.009007334623380847,-0.13098814137969145,57,3.206955767609543e-08
0,OI.CZC,None,minmax,None,90,0.5602338382376223,0.6173069391070778,1.0,0.5178517896066852,-0.026714881537815285,,0,4.5894552351778174e-27
1,OI.CZC,None,ts_zscore,None,90,0.35214259740311843,0.5212575287540107,8.312304374129535,2.0056708634830867,-0.013738404216035154,-0.055411813363032046,66,4.7878966569214754e-08
0,OI.CZC,None,minmax,None,180,0.5848724269336276,0.6552395479048441,1.0,0.5153007427861832,-0.02624563502932172,,0,1.449210644154761e-28
1,OI.CZC,None,ts_zscore,None,180,0.5058281347406448,0.7585398074778389,7.91096104533971,2.122485300105466,-0.03258275746938437,-0.17506439100284835,60,2.250801857195335e-16
0,OI.CZC,None,minmax,None,256,0.5997316112761696,0.6705276340472901,1.0,0.5128405264768903,-0.030142117934247557,0.07094016744414063,32,2.3259730383381723e-28
1,OI.CZC,None,ts_zscore,None,256,0.6144608414101146,0.8705507367008063,7.642953500230487,2.0799689094645477,-0.0313570969391512,-0.2847614045801453,44,1.60080240540888e-16
0,OI.CZC,None,minmax,None,512,0.6337626334302547,0.6872854799976571,1.0,0.4643845410416251,-0.02570449427736785,0.1382677198564724,59,1.68852094532861e-27
1,OI.CZC,None,ts_zscore,None,512,0.9585711212240997,1.145663610391193,8.140763147109796,1.948337478434357,-0.028122509354590965,-0.16273796583457165,78,5.185430210219444e-11
0,OI.CZC,None,minmax,None,1024,0.6575781621537554,0.6847324723247232,1.0,0.3928591096333689,-0.023801342111452104,0.06395372261035069,95,2.6941479620923275e-26
1,OI.CZC,None,ts_zscore,None,1024,1.2557718245771277,1.2827966200596321,8.766159723575958,1.7838548507237921,-0.02028277447188678,-0.2676076243557582,103,2.0670898326358156e-10
0,PB.SHF,None,minmax,None,20,0.4984904349933983,0.5067264573991032,1.0,0.648474607234198,-0.0337356666702093,,0,2.205321206591807e-31
1,PB.SHF,None,ts_zscore,None,20,-0.012646798439805906,-0.013459461997047704,6.763475921202771,2.0462415763960746,-0.0473297355644902,-0.25690989241464707,38,2.079980285230043e-12
0,PB.SHF,None,minmax,None,40,0.505963867377556,0.5264900662251656,1.0,0.6010204081632653,-0.02708960208982067,,0,9.078648387084283e-29
1,PB.SHF,None,ts_zscore,None,40,0.030055057275002427,-0.04365536437111833,7.505457465341496,2.0505316672939125,-0.03870336754605375,-0.33080140884390435,50,1.0575567505055616e-10
0,PB.SHF,None,minmax,None,60,0.50034436869356,0.512987012987013,1.0,0.5491613649508387,-0.02747422084147692,,0,5.692454804739425e-26
1,PB.SHF,None,ts_zscore,None,60,0.015725330406415508,-0.07110332616187706,7.483665618382923,2.002689815378623,-0.034128998755265975,-0.1837880173865265,60,6.161663179682364e-09
0,PB.SHF,None,minmax,None,90,0.4898452524398671,0.4883116883116883,1.0,0.4791745294775296,-0.029188234061573975,,0,2.936335674301611e-22
1,PB.SHF,None,ts_zscore,None,90,0.0047130181833479915,-0.059960077178863216,7.752269566415373,1.8552105478446332,-0.03860296696588816,-0.16985052515194454,59,1.1295810509182047e-08
0,PB.SHF,None,minmax,None,180,0.4877007793675644,0.5032051282051282,1.0,0.3767151471030434,-0.043886891338231475,,0,2.339820784787026e-16
1,PB.SHF,None,ts_zscore,None,180,0.04713908643602948,0.007746583081121922,7.390968694874076,1.7020214857811675,-0.04026987158231249,-0.09915333877609618,86,7.46468775680853e-10
0,PB.SHF,None,minmax,None,256,0.498531809802043,0.5252173913043479,1.0,0.333236744446139,-0.030998007295990518,,0,6.38078455670586e-17
1,PB.SHF,None,ts_zscore,None,256,0.07419353380026056,0.1254443361557933,8.362478306996437,1.7073676007765686,-0.02612438289229616,0.0020326662495404714,80,3.74494145343276e-15
0,PB.SHF,None,minmax,None,512,0.520575172608158,0.552246340232206,1.0,0.33503267973856204,-0.02202074354278127,-0.30758935470537874,45,1.233352895445064e-16
1,PB.SHF,None,ts_zscore,None,512,0.19166686613957093,0.15937644860314404,9.487811420226766,1.7443229023074915,-0.005758472900851592,-0.06477049657246985,62,2.7332868657784594e-21
0,PB.SHF,None,minmax,None,1024,0.509069670656343,0.49570923775870773,1.0,0.37902967833659146,-0.023312990749603447,-0.009056956718958118,59,9.801016701102906e-21
1,PB.SHF,None,ts_zscore,None,1024,0.32316282014069303,0.10160838558016526,8.966684592502196,1.8226422796922355,-0.004883273752445995,-0.051351061944262,64,1.238185898295144e-28
0,P.DCE,None,minmax,None,20,0.5151080016247761,0.5210619689377198,1.0,0.7100912213358783,0.012133684216806941,,0,3.974234820002322e-34
1,P.DCE,None,ts_zscore,None,20,0.07078717530754,0.09112127503748171,6.94440757684484,2.211683103359049,0.00660593774147886,0.125260288616892,32,9.75088943319757e-18
0,P.DCE,None,minmax,None,40,0.5181651041514799,0.5447761194029851,1.0,0.6433882632705287,0.004061546626147639,,0,5.687051543430774e-31
1,P.DCE,None,ts_zscore,None,40,0.08407320605800524,0.1985741049551929,8.139707311759572,2.2395967330147997,0.011090396475914829,0.059625685057091225,37,2.0701029527169477e-14
0,P.DCE,None,minmax,None,60,0.5245429208106792,0.5689469787358463,1.0,0.639804468163497,0.015166457204203428,,0,2.380670404200578e-31
1,P.DCE,None,ts_zscore,None,60,0.10792918411451352,0.24529066418227613,8.415099385797244,2.31236798535551,0.017439932670732267,0.05293709730441105,38,4.897492620256345e-16
0,P.DCE,None,minmax,None,90,0.5240533160837633,0.5603629456678633,1.0,0.6355165144096656,0.012250293518682672,,0,6.563057675330222e-31
